generation 0: , ind 0: 0.608929, ind 1: 0.620611,avg: ,0.61477,ind: ,1,fitness: ,0.620611,individuals: ,0,1,
generation 1: , ind 0: 0.635415, ind 1: 0.614046,avg: ,0.62473,ind: ,2,fitness: ,0.635415,individuals: ,2,3,
generation 2: , ind 0: 0.621111, ind 1: 0.642656,avg: ,0.631884,ind: ,5,fitness: ,0.642656,individuals: ,4,5,
generation 3: , ind 0: 0.610998, ind 1: 0.614983,avg: ,0.612991,ind: ,7,fitness: ,0.614983,individuals: ,6,7,
generation 4: , ind 0: 0.645146, ind 1: 0.610717,avg: ,0.627932,ind: ,8,fitness: ,0.645146,individuals: ,8,9,
