generation 0: , ind 0: 0.620007, ind 1: 0.664473,avg: ,0.64224,ind: ,1,fitness: ,0.664473,individuals: ,0,1,
generation 1: , ind 0: 0.635471, ind 1: 0.603745,avg: ,0.619608,ind: ,2,fitness: ,0.635471,individuals: ,2,3,
generation 2: , ind 0: 0.643019, ind 1: 0.646956,avg: ,0.644988,ind: ,5,fitness: ,0.646956,individuals: ,4,5,
generation 3: , ind 0: 0.556534, ind 1: 0.628983,avg: ,0.592758,ind: ,7,fitness: ,0.628983,individuals: ,6,7,
generation 4: , ind 0: 0.637957, ind 1: 0.546135,avg: ,0.592046,ind: ,8,fitness: ,0.637957,individuals: ,8,9,
