generation 0: , ind 0: 0.625433, ind 1: 0.624242,avg: ,0.624837,ind: ,0,fitness: ,0.625432,individuals: ,0,1,
generation 1: , ind 0: 0.62476, ind 1: 0.625249,avg: ,0.625005,ind: ,3,fitness: ,0.625249,individuals: ,2,3,
generation 2: , ind 0: 0.623998, ind 1: 0.624794,avg: ,0.624396,ind: ,5,fitness: ,0.624794,individuals: ,4,5,
generation 3: , ind 0: 0.625414, ind 1: 0.624037,avg: ,0.624726,ind: ,6,fitness: ,0.625414,individuals: ,6,7,
generation 4: , ind 0: 0.624385, ind 1: 0.625355,avg: ,0.62487,ind: ,9,fitness: ,0.625355,individuals: ,8,9,
