generation 0: , ind 0: 0.242783, ind 1: 0.235506, ind 2: 0.263666, ind 3: 0.331214,avg: ,0.268292,ind: ,3,fitness: ,0.331214,individuals: ,0,1,2,3,
generation 1: , ind 0: 0.331214, ind 1: 0.331214, ind 2: 0.331558, ind 3: 0.2424,avg: ,0.309096,ind: ,6,fitness: ,0.331558,individuals: ,4,5,6,7,
generation 2: , ind 0: 0.331558, ind 1: 0.331558, ind 2: 0.324052, ind 3: 0.263884,avg: ,0.312763,ind: ,8,fitness: ,0.331558,individuals: ,8,9,10,11,
generation 3: , ind 0: 0.331558, ind 1: 0.331558, ind 2: 0.331558, ind 3: 0.362672,avg: ,0.339336,ind: ,15,fitness: ,0.362672,individuals: ,12,13,14,15,
generation 4: , ind 0: 0.362672, ind 1: 0.362672, ind 2: 0.18849, ind 3: 0.18849,avg: ,0.275581,ind: ,17,fitness: ,0.362672,individuals: ,16,17,18,19,
generation 5: , ind 0: 0.362672, ind 1: 0.362672, ind 2: 0.362672, ind 3: 0.263912,avg: ,0.337982,ind: ,22,fitness: ,0.362672,individuals: ,20,21,22,23,
generation 6: , ind 0: 0.362672, ind 1: 0.362672, ind 2: 0.362672, ind 3: 0.362672,avg: ,0.362672,ind: ,27,fitness: ,0.362672,individuals: ,24,25,26,27,
generation 7: , ind 0: 0.362672, ind 1: 0.362672, ind 2: 0.275085, ind 3: 0.263783,avg: ,0.316053,ind: ,29,fitness: ,0.362672,individuals: ,28,29,30,31,
generation 8: , ind 0: 0.362672, ind 1: 0.362672, ind 2: 0.214905, ind 3: 0.362672,avg: ,0.32573,ind: ,35,fitness: ,0.362672,individuals: ,32,33,34,35,
generation 9: , ind 0: 0.362672, ind 1: 0.362672, ind 2: 0.362672, ind 3: 0.362672,avg: ,0.362672,ind: ,39,fitness: ,0.362672,individuals: ,36,37,38,39,
