generation 0: , ind 0: 0.529371, ind 1: 0.588226,avg: ,0.558798,ind: ,1,fitness: ,0.588226,individuals: ,0,1,
generation 1: , ind 0: 0.620363, ind 1: 0.625397,avg: ,0.62288,ind: ,3,fitness: ,0.625397,individuals: ,2,3,
generation 2: , ind 0: 0.585236, ind 1: 0.62444,avg: ,0.604838,ind: ,5,fitness: ,0.62444,individuals: ,4,5,
generation 3: , ind 0: 0.624723, ind 1: 0.587572,avg: ,0.606148,ind: ,6,fitness: ,0.624723,individuals: ,6,7,
generation 4: , ind 0: 0.621607, ind 1: 0.624813,avg: ,0.62321,ind: ,9,fitness: ,0.624813,individuals: ,8,9,
