generation 0: , ind 0: 0.624153, ind 1: 0.690407,avg: ,0.65728,ind: ,1,fitness: ,0.690407,individuals: ,0,1,
generation 1: , ind 0: 0.627644, ind 1: 0.62748,avg: ,0.627562,ind: ,2,fitness: ,0.627644,individuals: ,2,3,
generation 2: , ind 0: 0.690386, ind 1: 0.626388,avg: ,0.658387,ind: ,4,fitness: ,0.690386,individuals: ,4,5,
generation 3: , ind 0: 0.62509, ind 1: 0.689748,avg: ,0.657419,ind: ,7,fitness: ,0.689748,individuals: ,6,7,
generation 4: , ind 0: 0.622425, ind 1: 0.625492,avg: ,0.623959,ind: ,9,fitness: ,0.625492,individuals: ,8,9,
