generation 0: , ind 0: 0.242783, ind 1: 0.263924, ind 2: 0.240035, ind 3: 0.264102,avg: ,0.252711,ind: ,3,fitness: ,0.264102,individuals: ,0,1,2,3,
generation 1: , ind 0: 0.264102, ind 1: 0.264102, ind 2: 0.271175, ind 3: 0.263775,avg: ,0.265789,ind: ,6,fitness: ,0.271175,individuals: ,4,5,6,7,
generation 2: , ind 0: 0.271175, ind 1: 0.271175, ind 2: 0.26414, ind 3: 0.266865,avg: ,0.268339,ind: ,8,fitness: ,0.271175,individuals: ,8,9,10,11,
generation 3: , ind 0: 0.271175, ind 1: 0.271175, ind 2: 0.271175, ind 3: 0.26933,avg: ,0.270714,ind: ,12,fitness: ,0.271175,individuals: ,12,13,14,15,
