generation 0: , ind 0: 0.612028, ind 1: 0.624263,avg: ,0.618146,ind: ,1,fitness: ,0.624263,individuals: ,0,1,
generation 1: , ind 0: 0.624305, ind 1: 0.624312,avg: ,0.624309,ind: ,3,fitness: ,0.624312,individuals: ,2,3,
generation 2: , ind 0: 0.624327, ind 1: 0.624318,avg: ,0.624323,ind: ,4,fitness: ,0.624327,individuals: ,4,5,
generation 3: , ind 0: 0.624291, ind 1: 0.62431,avg: ,0.624301,ind: ,7,fitness: ,0.62431,individuals: ,6,7,
generation 4: , ind 0: 0.62438, ind 1: 0.624271,avg: ,0.624326,ind: ,8,fitness: ,0.62438,individuals: ,8,9,
