generation 0: , ind 0: 0.622979, ind 1: 0.634846,avg: ,0.628913,ind: ,1,fitness: ,0.634846,individuals: ,0,1,
generation 1: , ind 0: 0.625206, ind 1: 0.622596,avg: ,0.623901,ind: ,2,fitness: ,0.625206,individuals: ,2,3,
generation 2: , ind 0: 0.631532, ind 1: 0.559983,avg: ,0.595757,ind: ,4,fitness: ,0.631532,individuals: ,4,5,
generation 3: , ind 0: 0.626989, ind 1: 0.67328,avg: ,0.650134,ind: ,7,fitness: ,0.67328,individuals: ,6,7,
generation 4: , ind 0: 0.634583, ind 1: 0.608329,avg: ,0.621456,ind: ,8,fitness: ,0.634583,individuals: ,8,9,
