generation 0: , ind 0: 0.651451, ind 1: 0.624999,avg: ,0.638225,ind: ,0,fitness: ,0.651451,individuals: ,0,1,
generation 1: , ind 0: 0.607158, ind 1: 0.632568,avg: ,0.619863,ind: ,3,fitness: ,0.632568,individuals: ,2,3,
generation 2: , ind 0: 0.58886, ind 1: 0.62416,avg: ,0.60651,ind: ,5,fitness: ,0.62416,individuals: ,4,5,
generation 3: , ind 0: 0.60826, ind 1: 0.623792,avg: ,0.616026,ind: ,7,fitness: ,0.623792,individuals: ,6,7,
generation 4: , ind 0: 0.592465, ind 1: 0.627994,avg: ,0.610229,ind: ,9,fitness: ,0.627994,individuals: ,8,9,
