generation 0: , ind 0: 0.618076, ind 1: 0.624859,avg: ,0.621468,ind: ,1,fitness: ,0.624859,individuals: ,0,1,
generation 1: , ind 0: 0.624978, ind 1: 0.625513,avg: ,0.625245,ind: ,3,fitness: ,0.625513,individuals: ,2,3,
generation 2: , ind 0: 0.624735, ind 1: 0.624972,avg: ,0.624854,ind: ,5,fitness: ,0.624972,individuals: ,4,5,
generation 3: , ind 0: 0.624701, ind 1: 0.624992,avg: ,0.624847,ind: ,7,fitness: ,0.624992,individuals: ,6,7,
generation 4: , ind 0: 0.624976, ind 1: 0.625183,avg: ,0.62508,ind: ,9,fitness: ,0.625183,individuals: ,8,9,
