generation 0: , ind 0: 0.621722, ind 1: 0.620263,avg: ,0.620992,ind: ,0,fitness: ,0.621722,individuals: ,0,1,
generation 1: , ind 0: 0.614656, ind 1: 0.642102,avg: ,0.628379,ind: ,3,fitness: ,0.642102,individuals: ,2,3,
generation 2: , ind 0: 0.625256, ind 1: 0.627286,avg: ,0.626271,ind: ,5,fitness: ,0.627286,individuals: ,4,5,
generation 3: , ind 0: 0.626952, ind 1: 0.624823,avg: ,0.625888,ind: ,6,fitness: ,0.626952,individuals: ,6,7,
generation 4: , ind 0: 0.628538, ind 1: 0.637308,avg: ,0.632923,ind: ,9,fitness: ,0.637308,individuals: ,8,9,
