generation 0: , ind 0: 0.614293, ind 1: 0.686826,avg: ,0.650559,ind: ,1,fitness: ,0.686826,individuals: ,0,1,
generation 1: , ind 0: 0.69492, ind 1: 0.539802,avg: ,0.617361,ind: ,2,fitness: ,0.69492,individuals: ,2,3,
generation 2: , ind 0: 0.68087, ind 1: 0.692416,avg: ,0.686643,ind: ,5,fitness: ,0.692416,individuals: ,4,5,
generation 3: , ind 0: 0.538266, ind 1: 0.637538,avg: ,0.587902,ind: ,7,fitness: ,0.637538,individuals: ,6,7,
generation 4: , ind 0: 0.699252, ind 1: 0.537729,avg: ,0.61849,ind: ,8,fitness: ,0.699252,individuals: ,8,9,
