generation 0: , ind 0: 0.627339, ind 1: 0.602712,avg: ,0.615025,ind: ,0,fitness: ,0.627339,individuals: ,0,1,
generation 1: , ind 0: 0.626519, ind 1: 0.625762,avg: ,0.626141,ind: ,2,fitness: ,0.626519,individuals: ,2,3,
generation 2: , ind 0: 0.615251, ind 1: 0.626037,avg: ,0.620644,ind: ,5,fitness: ,0.626037,individuals: ,4,5,
generation 3: , ind 0: 0.624359, ind 1: 0.616884,avg: ,0.620621,ind: ,6,fitness: ,0.624359,individuals: ,6,7,
generation 4: , ind 0: 0.625668, ind 1: 0.623967,avg: ,0.624817,ind: ,8,fitness: ,0.625668,individuals: ,8,9,
